icao24,origin_country,velocity,on_ground
4400e3,Austria,207.78,False
a24935,United States,49.37,False
aae280,United States,241.61,False
4400dc,Austria,209.93,False
ae6251,United States,42.38,False
a00973,United States,85.28,False
a99a1b,United States,52.69,False
a03cac,United States,189.54,False
ada560,United States,62.86,False
c07c7b,Canada,0.0,True
4400be,Austria,192.53,False
a03cc2,United States,253.95,False
34440a,Spain,227.33,False
34440b,Spain,77.69,False
ae6242,United States,45.17,False
ac2287,United States,41.63,False
344417,Spain,207.69,False
c07c92,Canada,183.95,False
a46304,United States,4.63,True
a3696e,United States,239.01,False
ae6266,United States,153.15,False
a88d47,United States,177.8,False
344409,Spain,206.73,False
0d1201,Mexico,111.32,False
0d1202,Mexico,190.15,False
c046df,Canada,1.15,False
a0802e,United States,45.42,False
a40ca4,United States,73.68,False
471f37,Hungary,234.13,False
471f38,Hungary,215.84,False
a75a21,United States,261.29,False
a9b4a4,United States,229.99,False
801604,India,110.95,False
471f31,Hungary,230.36,False
a9fd22,United States,212.98,False
aa91b5,United States,231.99,False
0d1218,Mexico,176.92,False
471f01,Hungary,233.41,False
471f06,Hungary,232.02,False
471f04,Hungary,237.91,False
a22318,United States,57.77,False
a51a7b,United States,90.78,False
a22315,United States,47.85,False
0d120c,Mexico,102.06,False
a88d72,United States,250.65,False
a27cc0,United States,143.01,False
a831ad,United States,195.79,False
a2362f,United States,49.32,False
a831b2,United States,231.1,False
a64d97,United States,97.16,False
e07544,Argentina,205.57,False
a27cbd,United States,146.0,False
e07543,Argentina,0.45,True
a1bfd7,United States,129.82,False
a9fd06,United States,45.84,False
ac47b7,United States,236.94,False
885281,Thailand,265.54,False
a977d4,United States,191.99,False
a4fa7e,United States,70.14,False
0d1234,Mexico,222.71,False
a03cfa,United States,208.51,False
a3b90e,United States,215.13,False
a9ea9a,United States,59.37,False
a59662,United States,26.36,False
80174b,India,5.92,True
a4d97e,United States,177.52,False
ab5dca,United States,80.11,False
a61988,United States,54.94,False
c07e39,Canada,78.95,False
a0806f,United States,186.27,False
a4d989,United States,225.03,False
a76cb8,United States,299.62,False
a34368,United States,75.64,False
abadc0,United States,192.27,False
c81ac0,New Zealand,97.89,False
a60665,United States,62.26,False
a0807e,United States,169.17,False
a8592c,United States,97.49,False
a34358,United States,217.45,False
ad571e,United States,69.34,False
a40cca,United States,0.0,True
e073cd,Argentina,245.46,False
a41ffc,United States,39.45,False
ad9dc7,United States,92.66,False
c035cc,Canada,222.37,False
a76cba,United States,71.64,False
a1f00e,United States,205.6,False
a22358,United States,185.21,False
e49f12,Brazil,33.54,False
a9ea89,United States,61.22,False
abadd6,United States,0.0,True
a71337,United States,117.68,False
c07e62,Canada,237.98,False
ac2439,United States,265.48,False
4402a3,Austria,256.02,False
a23699,United States,54.84,False
a7130c,United States,231.73,False
a73981,United States,37.64,False
c07e59,Canada,240.49,False
a46310,United States,11.32,True
8852e1,Thailand,264.12,False
a1acdb,United States,248.7,False
8852e3,Thailand,243.44,False
a76cc0,United States,209.31,False
aaf77a,United States,52.48,False
80173e,India,231.21,False
a64cdb,United States,282.34,False
ac377b,United States,228.21,False
0d10e4,Mexico,195.79,False
e0b0c9,Argentina,71.65,False
a3eca2,United States,208.2,False
ad442d,United States,54.89,False
407b8b,United Kingdom,221.07,False
a9ea65,United States,41.26,False
407b8e,United Kingdom,239.74,False
3e8b02,Germany,156.95,False
407b8f,United Kingdom,202.15,False
abadf9,United States,225.71,False
a87a8c,United States,42.66,False
a4d946,United States,159.92,False
ab4af1,United States,0.0,True
a9a1f4,United States,145.25,False
ac245c,United States,78.4,False
3430cd,Spain,174.37,False
3430cc,Spain,203.55,False
a128be,United States,58.03,False
a9ea75,United States,52.23,False
a3a647,United States,218.07,False
a61949,United States,218.91,False
a87a89,United States,54.18,False
e49f6d,Brazil,74.3,False
a3ecc9,United States,60.77,False
a3ffea,United States,188.47,False
a89fa9,United States,57.85,False
a7260e,United States,60.56,False
a60633,United States,42.82,False
a46368,United States,191.54,False
3c4b49,Germany,188.26,False
a0808f,United States,185.69,False
a52cc8,United States,198.26,False
a951dd,United States,128.64,False
407b70,United Kingdom,197.74,False
a9b4de,United States,281.09,False
e49f3f,Brazil,68.65,False
ad5785,United States,237.75,False
a3fffc,United States,273.45,False
e0b0d2,Argentina,76.1,False
a03e0b,United States,46.82,False
a3ecce,United States,162.6,False
adedba,United States,63.28,False
3c4b4e,Germany,163.58,False
ad42db,United States,37.1,False
a39e0c,United States,291.78,False
ada5ee,United States,243.51,False
a82047,United States,43.24,False
3443d1,Spain,69.85,False
a4a082,United States,30.36,False
3443d3,Spain,222.66,False
a6f380,United States,65.21,False
a70066,United States,49.49,False
ada5f1,United States,238.43,False
a45091,United States,190.97,False
a69060,United States,220.27,False
a2ce02,United States,47.67,False
a02b48,United States,63.33,False
0d10b2,Mexico,51.91,False
addb2b,United States,175.72,False
a248df,United States,43.78,False
a368b2,United States,44.24,False
a84699,United States,207.39,False
a03e86,United States,67.08,False
a6f35c,United States,177.66,False
a092c6,United States,113.51,False
a02b15,United States,66.22,False
ad8b92,United States,195.44,False
a4639d,United States,60.42,False
4aca05,Sweden,223.27,False
a15e22,United States,129.53,False
0d10bc,Mexico,0.0,True
4aca09,Sweden,1.03,True
a8dccc,United States,41.67,False
a27e21,United States,162.69,False
aa8164,United States,196.18,False
c01063,Canada,223.61,False
aa9493,United States,149.92,False
a618b6,United States,69.36,False
a4638c,United States,94.03,False
a6e055,United States,260.5,False
4aca15,Sweden,230.03,False
e0b198,Argentina,190.34,False
a8469e,United States,174.23,False
e48ad5,Brazil,235.82,True
addb4a,United States,245.56,False
4aca0b,Sweden,225.92,False
4aca0a,Sweden,11.32,True
4aca0d,Sweden,211.69,False
a1ae05,United States,153.86,False
4bb4f4,Turkey,209.72,False
a57041,United States,43.08,False
a7000a,United States,5.14,True
acbb9f,United States,44.14,False
4aca63,Sweden,271.82,False
a76cf0,United States,276.77,False
4aca65,Sweden,222.96,False
46a60f,Greece,10.8,True
ae62ff,United States,168.67,False
a7133f,United States,137.66,False
a88cbf,United States,221.99,False
8016a6,India,0.0,True
a71359,United States,130.12,False
a26b51,United States,230.26,False
a27e81,United States,47.39,False
a9b623,United States,38.6,False
a71356,United States,52.16,False
a14b4e,United States,272.58,False
a222b2,United States,0.9,True
4aca70,Sweden,224.19,False
4aca72,Sweden,236.09,False
a6f326,United States,203.85,False
4aca74,Sweden,192.51,False
ac370b,United States,264.02,False
a222bf,United States,233.46,False
a9b62a,United States,0.0,True
a222bd,United States,184.49,False
4bb4ee,Turkey,218.88,False
a89fda,United States,161.43,False
a6f31d,United States,7.2,True
a88cf9,United States,112.28,False
ab1747,United States,46.89,False
471fa9,Hungary,223.27,False
440356,Austria,226.39,False
ab0416,United States,7.46,True
a15e70,United States,232.66,False
a355b1,United States,195.27,False
4aca45,Sweden,6.69,True
440352,Austria,237.43,False
a5705b,United States,83.29,False
471fa4,Hungary,237.02,False
a2ce1b,United States,51.62,False
471fa1,Hungary,229.35,False
a71375,United States,75.79,False
471fa2,Hungary,178.61,False
44034b,Austria,205.99,False
471fac,Hungary,144.67,False
4bb4e3,Turkey,212.01,False
a7134b,United States,56.7,False
a02b68,United States,66.41,False
a57079,United States,4.89,True
4aca50,Sweden,145.49,False
4aca53,Sweden,205.26,False
a0f5e7,United States,98.78,False
a8efd3,United States,92.72,False
a5706f,United States,262.62,False
c02358,Canada,220.32,False
44033e,Austria,208.12,False
46b927,Greece,219.13,False
a15e6d,United States,88.31,False
a1ae9e,United States,61.41,False
ac7e1c,United States,233.1,False
ab15d0,United States,69.9,False
a222ea,United States,100.59,False
a51b58,United States,103.99,False
ac48f2,United States,207.47,False
a4b2c7,United States,48.92,False
c0360e,Canada,243.59,False
0180ac,Libyan Arab Jamahiriya,218.29,False
abae2c,United States,224.21,False
a4fb2f,United States,215.66,False
aa2b21,United States,181.99,False
ab4b2b,United States,4.37,True
a3db5a,United States,201.65,False
a63b37,United States,77.76,False
a63b3c,United States,135.7,False
a4b2d4,United States,39.7,False
a1ae7c,United States,44.82,False
a26b5d,United States,44.59,False
ad8b16,United States,0.06,True
ac6b0b,United States,67.64,False
a858f3,United States,0.0,True
a475d8,United States,197.89,False
ac35bf,United States,80.69,False
a9a399,United States,269.88,False
a858f6,United States,134.14,False
a978b4,United States,65.58,False
ac7e5b,United States,167.05,False
